dataset,image_id,image_path,gender
celeba,celeba_003648,data/raw/celeba/celeba_003648.jpg,1
celeba,celeba_006471,data/raw/celeba/celeba_006471.jpg,0
celeba,celeba_009339,data/raw/celeba/celeba_009339.jpg,0
celeba,celeba_004673,data/raw/celeba/celeba_004673.jpg,0
celeba,celeba_008032,data/raw/celeba/celeba_008032.jpg,0
celeba,celeba_004913,data/raw/celeba/celeba_004913.jpg,0
celeba,celeba_005784,data/raw/celeba/celeba_005784.jpg,0
celeba,celeba_001081,data/raw/celeba/celeba_001081.jpg,1
celeba,celeba_002685,data/raw/celeba/celeba_002685.jpg,1
celeba,celeba_000779,data/raw/celeba/celeba_000779.jpg,0
celeba,celeba_007950,data/raw/celeba/celeba_007950.jpg,0
celeba,celeba_004469,data/raw/celeba/celeba_004469.jpg,0
celeba,celeba_006114,data/raw/celeba/celeba_006114.jpg,0
celeba,celeba_002842,data/raw/celeba/celeba_002842.jpg,0
celeba,celeba_006778,data/raw/celeba/celeba_006778.jpg,0
celeba,celeba_005855,data/raw/celeba/celeba_005855.jpg,1
celeba,celeba_002163,data/raw/celeba/celeba_002163.jpg,0
celeba,celeba_009130,data/raw/celeba/celeba_009130.jpg,1
celeba,celeba_008586,data/raw/celeba/celeba_008586.jpg,0
celeba,celeba_008315,data/raw/celeba/celeba_008315.jpg,0
celeba,celeba_003515,data/raw/celeba/celeba_003515.jpg,0
celeba,celeba_000864,data/raw/celeba/celeba_000864.jpg,1
celeba,celeba_008232,data/raw/celeba/celeba_008232.jpg,0
celeba,celeba_009702,data/raw/celeba/celeba_009702.jpg,1
celeba,celeba_006853,data/raw/celeba/celeba_006853.jpg,0
celeba,celeba_003195,data/raw/celeba/celeba_003195.jpg,1
celeba,celeba_003956,data/raw/celeba/celeba_003956.jpg,0
celeba,celeba_006813,data/raw/celeba/celeba_006813.jpg,0
celeba,celeba_005031,data/raw/celeba/celeba_005031.jpg,0
celeba,celeba_006920,data/raw/celeba/celeba_006920.jpg,1
celeba,celeba_002323,data/raw/celeba/celeba_002323.jpg,0
celeba,celeba_006814,data/raw/celeba/celeba_006814.jpg,0
celeba,celeba_007242,data/raw/celeba/celeba_007242.jpg,0
celeba,celeba_006286,data/raw/celeba/celeba_006286.jpg,0
celeba,celeba_009441,data/raw/celeba/celeba_009441.jpg,0
celeba,celeba_003074,data/raw/celeba/celeba_003074.jpg,1
celeba,celeba_000914,data/raw/celeba/celeba_000914.jpg,0
celeba,celeba_003649,data/raw/celeba/celeba_003649.jpg,1
celeba,celeba_008293,data/raw/celeba/celeba_008293.jpg,0
celeba,celeba_006799,data/raw/celeba/celeba_006799.jpg,0
celeba,celeba_003683,data/raw/celeba/celeba_003683.jpg,1
