dataset,image_id,image_path,gender,race,age
fairface,fairface_003190,data/raw/fairface/fairface_003190.jpg,0,0,3
fairface,fairface_004438,data/raw/fairface/fairface_004438.jpg,1,3,1
fairface,fairface_006975,data/raw/fairface/fairface_006975.jpg,0,1,3
fairface,fairface_009585,data/raw/fairface/fairface_009585.jpg,1,6,3
fairface,fairface_001730,data/raw/fairface/fairface_001730.jpg,0,1,3
fairface,fairface_005531,data/raw/fairface/fairface_005531.jpg,1,1,4
fairface,fairface_008686,data/raw/fairface/fairface_008686.jpg,0,3,4
fairface,fairface_001285,data/raw/fairface/fairface_001285.jpg,1,2,4
fairface,fairface_004602,data/raw/fairface/fairface_004602.jpg,0,3,3
fairface,fairface_005580,data/raw/fairface/fairface_005580.jpg,0,0,1
fairface,fairface_009865,data/raw/fairface/fairface_009865.jpg,1,4,5
fairface,fairface_005737,data/raw/fairface/fairface_005737.jpg,0,2,4
fairface,fairface_000844,data/raw/fairface/fairface_000844.jpg,0,3,1
fairface,fairface_002927,data/raw/fairface/fairface_002927.jpg,1,1,4
fairface,fairface_001388,data/raw/fairface/fairface_001388.jpg,0,0,3
fairface,fairface_006892,data/raw/fairface/fairface_006892.jpg,1,1,4
fairface,fairface_009200,data/raw/fairface/fairface_009200.jpg,0,0,4
fairface,fairface_002333,data/raw/fairface/fairface_002333.jpg,0,3,3
fairface,fairface_002282,data/raw/fairface/fairface_002282.jpg,1,2,3
fairface,fairface_006688,data/raw/fairface/fairface_006688.jpg,1,1,4
fairface,fairface_004296,data/raw/fairface/fairface_004296.jpg,1,6,2
fairface,fairface_003672,data/raw/fairface/fairface_003672.jpg,0,5,3
fairface,fairface_001652,data/raw/fairface/fairface_001652.jpg,1,6,3
fairface,fairface_006100,data/raw/fairface/fairface_006100.jpg,0,0,3
fairface,fairface_000251,data/raw/fairface/fairface_000251.jpg,0,0,3
fairface,fairface_000389,data/raw/fairface/fairface_000389.jpg,1,0,3
fairface,fairface_006595,data/raw/fairface/fairface_006595.jpg,1,3,5
fairface,fairface_005886,data/raw/fairface/fairface_005886.jpg,0,2,3
fairface,fairface_005952,data/raw/fairface/fairface_005952.jpg,1,2,1
fairface,fairface_009715,data/raw/fairface/fairface_009715.jpg,0,3,3
fairface,fairface_002799,data/raw/fairface/fairface_002799.jpg,0,4,5
fairface,fairface_003046,data/raw/fairface/fairface_003046.jpg,1,3,6
fairface,fairface_000581,data/raw/fairface/fairface_000581.jpg,1,6,2
fairface,fairface_006563,data/raw/fairface/fairface_006563.jpg,1,5,6
fairface,fairface_009028,data/raw/fairface/fairface_009028.jpg,0,4,4
fairface,fairface_006807,data/raw/fairface/fairface_006807.jpg,1,2,1
fairface,fairface_001063,data/raw/fairface/fairface_001063.jpg,1,0,3
fairface,fairface_002906,data/raw/fairface/fairface_002906.jpg,1,6,2
fairface,fairface_008773,data/raw/fairface/fairface_008773.jpg,1,1,5
fairface,fairface_007807,data/raw/fairface/fairface_007807.jpg,0,0,2
fairface,fairface_001726,data/raw/fairface/fairface_001726.jpg,1,4,5
fairface,fairface_001516,data/raw/fairface/fairface_001516.jpg,0,0,0
fairface,fairface_009972,data/raw/fairface/fairface_009972.jpg,0,6,3
fairface,fairface_008673,data/raw/fairface/fairface_008673.jpg,0,0,3
fairface,fairface_002197,data/raw/fairface/fairface_002197.jpg,1,3,1
fairface,fairface_001917,data/raw/fairface/fairface_001917.jpg,1,3,3
fairface,fairface_002556,data/raw/fairface/fairface_002556.jpg,0,3,7
fairface,fairface_006796,data/raw/fairface/fairface_006796.jpg,0,2,3
fairface,fairface_005497,data/raw/fairface/fairface_005497.jpg,0,3,3
fairface,fairface_001322,data/raw/fairface/fairface_001322.jpg,1,1,6
fairface,fairface_004926,data/raw/fairface/fairface_004926.jpg,0,6,1
fairface,fairface_004398,data/raw/fairface/fairface_004398.jpg,0,5,3
fairface,fairface_004190,data/raw/fairface/fairface_004190.jpg,0,5,4
fairface,fairface_007806,data/raw/fairface/fairface_007806.jpg,0,2,2
fairface,fairface_001230,data/raw/fairface/fairface_001230.jpg,0,0,3
fairface,fairface_003215,data/raw/fairface/fairface_003215.jpg,1,1,3
fairface,fairface_006893,data/raw/fairface/fairface_006893.jpg,0,4,2
fairface,fairface_009727,data/raw/fairface/fairface_009727.jpg,1,6,1
fairface,fairface_005538,data/raw/fairface/fairface_005538.jpg,0,2,4
fairface,fairface_000163,data/raw/fairface/fairface_000163.jpg,0,0,3
fairface,fairface_003551,data/raw/fairface/fairface_003551.jpg,1,1,1
fairface,fairface_004251,data/raw/fairface/fairface_004251.jpg,0,4,2
fairface,fairface_004129,data/raw/fairface/fairface_004129.jpg,0,0,2
fairface,fairface_008816,data/raw/fairface/fairface_008816.jpg,0,1,3
fairface,fairface_006817,data/raw/fairface/fairface_006817.jpg,1,0,3
fairface,fairface_009639,data/raw/fairface/fairface_009639.jpg,1,1,2
fairface,fairface_003453,data/raw/fairface/fairface_003453.jpg,1,1,7
fairface,fairface_004950,data/raw/fairface/fairface_004950.jpg,1,2,4
fairface,fairface_007588,data/raw/fairface/fairface_007588.jpg,0,1,2
fairface,fairface_008544,data/raw/fairface/fairface_008544.jpg,1,1,4
fairface,fairface_000372,data/raw/fairface/fairface_000372.jpg,1,0,4
fairface,fairface_000687,data/raw/fairface/fairface_000687.jpg,1,6,3
fairface,fairface_007868,data/raw/fairface/fairface_007868.jpg,0,1,3
fairface,fairface_009719,data/raw/fairface/fairface_009719.jpg,0,5,3
fairface,fairface_001192,data/raw/fairface/fairface_001192.jpg,1,1,1
fairface,fairface_000874,data/raw/fairface/fairface_000874.jpg,0,1,3
fairface,fairface_005493,data/raw/fairface/fairface_005493.jpg,0,4,5
fairface,fairface_000335,data/raw/fairface/fairface_000335.jpg,0,5,4
fairface,fairface_009432,data/raw/fairface/fairface_009432.jpg,1,5,3
fairface,fairface_003472,data/raw/fairface/fairface_003472.jpg,1,2,5
fairface,fairface_005680,data/raw/fairface/fairface_005680.jpg,1,3,2
fairface,fairface_004962,data/raw/fairface/fairface_004962.jpg,1,4,3
fairface,fairface_008100,data/raw/fairface/fairface_008100.jpg,1,3,5
fairface,fairface_005958,data/raw/fairface/fairface_005958.jpg,1,3,2
fairface,fairface_004568,data/raw/fairface/fairface_004568.jpg,1,4,5
fairface,fairface_002484,data/raw/fairface/fairface_002484.jpg,0,0,3
fairface,fairface_002418,data/raw/fairface/fairface_002418.jpg,1,4,4
fairface,fairface_008829,data/raw/fairface/fairface_008829.jpg,1,6,6
fairface,fairface_000425,data/raw/fairface/fairface_000425.jpg,0,6,3
fairface,fairface_000066,data/raw/fairface/fairface_000066.jpg,0,5,2
fairface,fairface_006167,data/raw/fairface/fairface_006167.jpg,1,6,5
fairface,fairface_006895,data/raw/fairface/fairface_006895.jpg,0,3,4
fairface,fairface_006736,data/raw/fairface/fairface_006736.jpg,1,4,4
fairface,fairface_004731,data/raw/fairface/fairface_004731.jpg,1,5,2
fairface,fairface_003074,data/raw/fairface/fairface_003074.jpg,1,3,4
fairface,fairface_005908,data/raw/fairface/fairface_005908.jpg,1,0,3
fairface,fairface_005180,data/raw/fairface/fairface_005180.jpg,1,4,1
fairface,fairface_006436,data/raw/fairface/fairface_006436.jpg,1,0,2
fairface,fairface_004706,data/raw/fairface/fairface_004706.jpg,1,3,4
fairface,fairface_004696,data/raw/fairface/fairface_004696.jpg,1,0,4
fairface,fairface_004249,data/raw/fairface/fairface_004249.jpg,0,6,2
fairface,fairface_006791,data/raw/fairface/fairface_006791.jpg,0,2,2
fairface,fairface_006926,data/raw/fairface/fairface_006926.jpg,0,1,3
fairface,fairface_004376,data/raw/fairface/fairface_004376.jpg,0,3,4
fairface,fairface_008794,data/raw/fairface/fairface_008794.jpg,0,5,4
fairface,fairface_004051,data/raw/fairface/fairface_004051.jpg,1,0,7
fairface,fairface_000676,data/raw/fairface/fairface_000676.jpg,1,1,4
fairface,fairface_001335,data/raw/fairface/fairface_001335.jpg,0,1,7
fairface,fairface_005792,data/raw/fairface/fairface_005792.jpg,1,3,3
fairface,fairface_009495,data/raw/fairface/fairface_009495.jpg,1,1,3
fairface,fairface_001571,data/raw/fairface/fairface_001571.jpg,1,4,3
fairface,fairface_001170,data/raw/fairface/fairface_001170.jpg,1,3,7
fairface,fairface_006093,data/raw/fairface/fairface_006093.jpg,0,0,3
fairface,fairface_000152,data/raw/fairface/fairface_000152.jpg,0,6,3
fairface,fairface_007622,data/raw/fairface/fairface_007622.jpg,1,4,6
fairface,fairface_002552,data/raw/fairface/fairface_002552.jpg,1,1,3
fairface,fairface_007412,data/raw/fairface/fairface_007412.jpg,1,1,2
fairface,fairface_003184,data/raw/fairface/fairface_003184.jpg,1,1,4
fairface,fairface_006447,data/raw/fairface/fairface_006447.jpg,1,4,3
fairface,fairface_006647,data/raw/fairface/fairface_006647.jpg,1,1,3
fairface,fairface_009542,data/raw/fairface/fairface_009542.jpg,0,6,4
fairface,fairface_000715,data/raw/fairface/fairface_000715.jpg,1,5,2
fairface,fairface_004386,data/raw/fairface/fairface_004386.jpg,1,5,4
fairface,fairface_001255,data/raw/fairface/fairface_001255.jpg,0,1,3
fairface,fairface_006780,data/raw/fairface/fairface_006780.jpg,0,5,2
fairface,fairface_006724,data/raw/fairface/fairface_006724.jpg,0,3,6
fairface,fairface_005062,data/raw/fairface/fairface_005062.jpg,1,3,2
fairface,fairface_000334,data/raw/fairface/fairface_000334.jpg,0,0,3
fairface,fairface_004072,data/raw/fairface/fairface_004072.jpg,1,2,3
fairface,fairface_007608,data/raw/fairface/fairface_007608.jpg,0,3,4
fairface,fairface_001185,data/raw/fairface/fairface_001185.jpg,0,6,2
fairface,fairface_006255,data/raw/fairface/fairface_006255.jpg,1,6,4
fairface,fairface_007136,data/raw/fairface/fairface_007136.jpg,1,4,2
fairface,fairface_006629,data/raw/fairface/fairface_006629.jpg,1,6,4
fairface,fairface_008444,data/raw/fairface/fairface_008444.jpg,1,2,5
fairface,fairface_005897,data/raw/fairface/fairface_005897.jpg,0,1,4
fairface,fairface_001159,data/raw/fairface/fairface_001159.jpg,1,3,6
fairface,fairface_009694,data/raw/fairface/fairface_009694.jpg,1,6,0
fairface,fairface_004069,data/raw/fairface/fairface_004069.jpg,0,2,4
fairface,fairface_009333,data/raw/fairface/fairface_009333.jpg,1,2,4
fairface,fairface_005807,data/raw/fairface/fairface_005807.jpg,0,5,3
fairface,fairface_003791,data/raw/fairface/fairface_003791.jpg,0,3,4
fairface,fairface_008798,data/raw/fairface/fairface_008798.jpg,0,2,3
fairface,fairface_000202,data/raw/fairface/fairface_000202.jpg,1,3,3
fairface,fairface_007561,data/raw/fairface/fairface_007561.jpg,0,5,1
fairface,fairface_007672,data/raw/fairface/fairface_007672.jpg,0,1,5
fairface,fairface_004778,data/raw/fairface/fairface_004778.jpg,1,6,4
fairface,fairface_005786,data/raw/fairface/fairface_005786.jpg,0,1,1
fairface,fairface_000388,data/raw/fairface/fairface_000388.jpg,0,0,4
fairface,fairface_003105,data/raw/fairface/fairface_003105.jpg,1,5,4
fairface,fairface_001197,data/raw/fairface/fairface_001197.jpg,0,5,2
fairface,fairface_004412,data/raw/fairface/fairface_004412.jpg,0,1,4
fairface,fairface_009224,data/raw/fairface/fairface_009224.jpg,0,2,1
fairface,fairface_002206,data/raw/fairface/fairface_002206.jpg,1,3,6
fairface,fairface_008780,data/raw/fairface/fairface_008780.jpg,1,0,1
fairface,fairface_006211,data/raw/fairface/fairface_006211.jpg,1,6,4
fairface,fairface_006827,data/raw/fairface/fairface_006827.jpg,1,3,4
fairface,fairface_002592,data/raw/fairface/fairface_002592.jpg,1,0,5
fairface,fairface_000237,data/raw/fairface/fairface_000237.jpg,1,6,4
fairface,fairface_002313,data/raw/fairface/fairface_002313.jpg,0,1,1
fairface,fairface_006348,data/raw/fairface/fairface_006348.jpg,0,5,0
fairface,fairface_004649,data/raw/fairface/fairface_004649.jpg,0,6,3
fairface,fairface_009699,data/raw/fairface/fairface_009699.jpg,1,0,0
fairface,fairface_005343,data/raw/fairface/fairface_005343.jpg,0,1,3
fairface,fairface_003477,data/raw/fairface/fairface_003477.jpg,1,1,3
fairface,fairface_006289,data/raw/fairface/fairface_006289.jpg,1,0,3
fairface,fairface_007924,data/raw/fairface/fairface_007924.jpg,0,5,1
fairface,fairface_009700,data/raw/fairface/fairface_009700.jpg,1,2,1
fairface,fairface_006652,data/raw/fairface/fairface_006652.jpg,1,3,7
fairface,fairface_006607,data/raw/fairface/fairface_006607.jpg,0,3,5
fairface,fairface_008741,data/raw/fairface/fairface_008741.jpg,1,4,4
fairface,fairface_006617,data/raw/fairface/fairface_006617.jpg,1,6,3
fairface,fairface_002918,data/raw/fairface/fairface_002918.jpg,1,2,1
fairface,fairface_008871,data/raw/fairface/fairface_008871.jpg,1,4,4
fairface,fairface_001752,data/raw/fairface/fairface_001752.jpg,0,6,2
fairface,fairface_003702,data/raw/fairface/fairface_003702.jpg,1,2,5
fairface,fairface_001012,data/raw/fairface/fairface_001012.jpg,1,0,3
fairface,fairface_001999,data/raw/fairface/fairface_001999.jpg,1,4,4
fairface,fairface_007556,data/raw/fairface/fairface_007556.jpg,1,0,3
fairface,fairface_007543,data/raw/fairface/fairface_007543.jpg,1,5,1
fairface,fairface_008587,data/raw/fairface/fairface_008587.jpg,1,4,8
fairface,fairface_007579,data/raw/fairface/fairface_007579.jpg,0,5,3
fairface,fairface_004597,data/raw/fairface/fairface_004597.jpg,0,2,4
fairface,fairface_002890,data/raw/fairface/fairface_002890.jpg,0,3,3
fairface,fairface_006922,data/raw/fairface/fairface_006922.jpg,1,0,4
fairface,fairface_000677,data/raw/fairface/fairface_000677.jpg,0,5,6
fairface,fairface_003972,data/raw/fairface/fairface_003972.jpg,0,5,6
