dataset,image_id,image_path,age,gender,race
utkface,utkface_001476,data/raw/utkface/utkface_001476.jpg,0,1,2
utkface,utkface_000258,data/raw/utkface/utkface_000258.jpg,2,0,0
utkface,utkface_003340,data/raw/utkface/utkface_003340.jpg,3,1,0
utkface,utkface_004517,data/raw/utkface/utkface_004517.jpg,0,0,4
utkface,utkface_009521,data/raw/utkface/utkface_009521.jpg,8,0,0
utkface,utkface_008398,data/raw/utkface/utkface_008398.jpg,7,0,0
utkface,utkface_002663,data/raw/utkface/utkface_002663.jpg,3,1,4
utkface,utkface_007003,data/raw/utkface/utkface_007003.jpg,6,0,0
utkface,utkface_006529,data/raw/utkface/utkface_006529.jpg,5,0,0
utkface,utkface_006683,data/raw/utkface/utkface_006683.jpg,1,1,3
utkface,utkface_002291,data/raw/utkface/utkface_002291.jpg,0,0,2
utkface,utkface_003674,data/raw/utkface/utkface_003674.jpg,3,0,0
utkface,utkface_003209,data/raw/utkface/utkface_003209.jpg,3,1,3
utkface,utkface_005486,data/raw/utkface/utkface_005486.jpg,4,1,0
utkface,utkface_009236,data/raw/utkface/utkface_009236.jpg,1,0,0
utkface,utkface_003782,data/raw/utkface/utkface_003782.jpg,3,1,4
utkface,utkface_001611,data/raw/utkface/utkface_001611.jpg,0,1,2
utkface,utkface_004086,data/raw/utkface/utkface_004086.jpg,0,1,0
utkface,utkface_004243,data/raw/utkface/utkface_004243.jpg,0,1,3
utkface,utkface_006638,data/raw/utkface/utkface_006638.jpg,1,1,1
utkface,utkface_002381,data/raw/utkface/utkface_002381.jpg,0,0,3
utkface,utkface_002402,data/raw/utkface/utkface_002402.jpg,0,0,3
utkface,utkface_001316,data/raw/utkface/utkface_001316.jpg,0,1,0
utkface,utkface_009694,data/raw/utkface/utkface_009694.jpg,1,0,0
utkface,utkface_005078,data/raw/utkface/utkface_005078.jpg,4,1,0
utkface,utkface_005051,data/raw/utkface/utkface_005051.jpg,4,1,0
utkface,utkface_006527,data/raw/utkface/utkface_006527.jpg,5,1,4
utkface,utkface_007640,data/raw/utkface/utkface_007640.jpg,6,0,3
utkface,utkface_006084,data/raw/utkface/utkface_006084.jpg,5,1,2
utkface,utkface_005188,data/raw/utkface/utkface_005188.jpg,4,1,0
utkface,utkface_006082,data/raw/utkface/utkface_006082.jpg,5,1,2
utkface,utkface_006291,data/raw/utkface/utkface_006291.jpg,5,1,0
utkface,utkface_006036,data/raw/utkface/utkface_006036.jpg,5,0,0
utkface,utkface_002731,data/raw/utkface/utkface_002731.jpg,3,0,4
utkface,utkface_003608,data/raw/utkface/utkface_003608.jpg,3,0,4
utkface,utkface_008150,data/raw/utkface/utkface_008150.jpg,7,1,0
utkface,utkface_002747,data/raw/utkface/utkface_002747.jpg,3,0,4
utkface,utkface_006043,data/raw/utkface/utkface_006043.jpg,5,0,3
utkface,utkface_007738,data/raw/utkface/utkface_007738.jpg,6,0,0
utkface,utkface_000370,data/raw/utkface/utkface_000370.jpg,2,0,0
utkface,utkface_009988,data/raw/utkface/utkface_009988.jpg,1,1,0
utkface,utkface_004882,data/raw/utkface/utkface_004882.jpg,4,0,3
utkface,utkface_002015,data/raw/utkface/utkface_002015.jpg,0,0,0
utkface,utkface_008291,data/raw/utkface/utkface_008291.jpg,7,1,3
